DATE/TIME,DATA (psi)
01/01/2022 0:00,[-11057] Not Enough Values For Calculation
01/01/2022 0:15,[-11057] Not Enough Values For Calculation
01/01/2022 0:30,[-11057] Not Enough Values For Calculation
01/01/2022 0:45,[-11057] Not Enough Values For Calculation
01/01/2022 1:00,[-11057] Not Enough Values For Calculation
01/01/2022 1:15,[-11057] Not Enough Values For Calculation
01/01/2022 1:30,[-11057] Not Enough Values For Calculation
01/01/2022 1:45,[-11057] Not Enough Values For Calculation
01/01/2022 2:00,[-11057] Not Enough Values For Calculation
01/01/2022 2:15,[-11057] Not Enough Values For Calculation
01/01/2022 2:30,[-11057] Not Enough Values For Calculation
01/01/2022 2:45,[-11057] Not Enough Values For Calculation
01/01/2022 3:00,[-11057] Not Enough Values For Calculation
01/01/2022 3:15,[-11057] Not Enough Values For Calculation
01/01/2022 3:30,[-11057] Not Enough Values For Calculation
01/01/2022 3:45,[-11057] Not Enough Values For Calculation
01/01/2022 4:00,[-11057] Not Enough Values For Calculation
01/01/2022 4:15,[-11057] Not Enough Values For Calculation
01/01/2022 4:30,[-11057] Not Enough Values For Calculation
01/01/2022 4:45,[-11057] Not Enough Values For Calculation
01/01/2022 5:00,[-11057] Not Enough Values For Calculation
01/01/2022 5:15,[-11057] Not Enough Values For Calculation
01/01/2022 5:30,[-11057] Not Enough Values For Calculation
01/01/2022 5:45,[-11057] Not Enough Values For Calculation
01/01/2022 6:00,[-11057] Not Enough Values For Calculation
01/01/2022 6:15,[-11057] Not Enough Values For Calculation
01/01/2022 6:30,[-11057] Not Enough Values For Calculation
01/01/2022 6:45,[-11057] Not Enough Values For Calculation
01/01/2022 7:00,[-11057] Not Enough Values For Calculation
01/01/2022 7:15,[-11057] Not Enough Values For Calculation
01/01/2022 7:30,[-11057] Not Enough Values For Calculation
01/01/2022 7:45,[-11057] Not Enough Values For Calculation
01/01/2022 8:00,[-11057] Not Enough Values For Calculation
01/01/2022 8:15,[-11057] Not Enough Values For Calculation
01/01/2022 8:30,[-11057] Not Enough Values For Calculation
01/01/2022 8:45,[-11057] Not Enough Values For Calculation
01/01/2022 9:00,[-11057] Not Enough Values For Calculation
01/01/2022 9:15,[-11057] Not Enough Values For Calculation
01/01/2022 9:30,[-11057] Not Enough Values For Calculation
01/01/2022 9:45,[-11057] Not Enough Values For Calculation
01/01/2022 10:00,[-11057] Not Enough Values For Calculation
01/01/2022 10:15,[-11057] Not Enough Values For Calculation
01/01/2022 10:30,[-11057] Not Enough Values For Calculation
01/01/2022 10:45,[-11057] Not Enough Values For Calculation
01/01/2022 11:00,[-11057] Not Enough Values For Calculation
01/01/2022 11:15,[-11057] Not Enough Values For Calculation
01/01/2022 11:30,[-11057] Not Enough Values For Calculation
01/01/2022 11:45,[-11057] Not Enough Values For Calculation
01/01/2022 12:00,[-11057] Not Enough Values For Calculation
01/01/2022 12:15,[-11057] Not Enough Values For Calculation
01/01/2022 12:30,[-11057] Not Enough Values For Calculation
01/01/2022 12:45,[-11057] Not Enough Values For Calculation
01/01/2022 13:00,[-11057] Not Enough Values For Calculation
01/01/2022 13:15,[-11057] Not Enough Values For Calculation
01/01/2022 13:30,[-11057] Not Enough Values For Calculation
01/01/2022 13:45,[-11057] Not Enough Values For Calculation
01/01/2022 14:00,[-11057] Not Enough Values For Calculation
01/01/2022 14:15,[-11057] Not Enough Values For Calculation
01/01/2022 14:30,[-11057] Not Enough Values For Calculation
01/01/2022 14:45,[-11057] Not Enough Values For Calculation
01/01/2022 15:00,[-11057] Not Enough Values For Calculation
01/01/2022 15:15,[-11057] Not Enough Values For Calculation
01/01/2022 15:30,[-11057] Not Enough Values For Calculation
01/01/2022 15:45,[-11057] Not Enough Values For Calculation
01/01/2022 16:00,[-11057] Not Enough Values For Calculation
01/01/2022 16:15,[-11057] Not Enough Values For Calculation
01/01/2022 16:30,[-11057] Not Enough Values For Calculation
01/01/2022 16:45,[-11057] Not Enough Values For Calculation
